,pellet_radius,hole_number,hole_radius,distance_from_centre,angle,force,max_failure_parameter
0,0.1,1,0.028,0.0,0,185249.48542591181,1.000043334934713
1,0.1,2,0.028,0.056,0,260803.3655514598,1.0000564814716204
2,0.1,2,0.028,0.056,10,548025.2891165056,1.0000615044080396
3,0.1,2,0.028,0.056,20,457158.23272300203,1.0000303105592918
4,0.1,2,0.028,0.056,30,305065.10286857677,1.0000321936487397
5,0.1,2,0.028,0.056,40,263439.89503063826,1.0000748952065206
6,0.1,2,0.028,0.056,50,186368.01308374509,1.000090441482498
7,0.1,2,0.028,0.056,60,132167.35857845243,1.0000594110896546
8,0.1,2,0.028,0.056,70,85114.62843893246,1.0000073621597607
9,0.1,2,0.028,0.056,80,67804.08135341741,1.0000735435322565
10,0.1,2,0.028,0.056,90,62632.222516483525,1.0000499124391606
11,0.1,2,0.028,0.056,100,71383.3698584839,1.000053970396373
12,0.1,2,0.028,0.056,110,84475.46977731344,1.000021336614373
13,0.1,2,0.028,0.056,120,130633.3777905668,1.0000713526778569
14,0.1,2,0.028,0.056,130,186727.5398309058,1.0000523135764376
15,0.1,2,0.028,0.056,140,263013.7892562256,1.000021342009365
16,0.1,2,0.028,0.056,150,314838.90406916756,1.000063984257126
17,0.1,2,0.028,0.056,160,410606.17686841695,1.0000928368465039
18,0.1,2,0.028,0.056,170,557932.2483716004,1.000052953707303
19,0.1,3,0.028,0.056,0,146069.05946866606,1.000095971063538
20,0.1,3,0.028,0.056,10,87234.50466663553,1.0000883278683628
21,0.1,3,0.028,0.056,20,59159.4604550202,1.0000217968941632
22,0.1,3,0.028,0.056,30,52826.46338281177,1.0000887843377413
23,0.1,3,0.028,0.056,40,59303.271153884474,1.000024043276182
24,0.1,3,0.028,0.056,50,87532.7787087244,1.0000247100481987
25,0.1,3,0.028,0.056,60,142894.5714492916,1.0000932747713267
26,0.1,3,0.028,0.056,70,86787.09360350222,1.0000079162325104
27,0.1,3,0.028,0.056,80,58775.96525804879,1.0000707905825486
28,0.1,3,0.028,0.056,90,51995.55712270705,1.0000261887308075
29,0.1,3,0.028,0.056,100,59974.38774858444,1.0000658689106663
30,0.1,3,0.028,0.056,110,87096.02028995141,1.0000301043785256
31,0.1,3,0.028,0.056,120,146069.05946866606,1.000095971063489
32,0.1,3,0.028,0.056,130,87223.85202227521,1.0000616263528872
33,0.1,3,0.028,0.056,140,59154.13413284004,1.0000696882057087
34,0.1,3,0.028,0.056,150,52826.46338281177,1.000095495170923
35,0.1,3,0.028,0.056,160,59303.271153884474,1.0000113676165292
36,0.1,3,0.028,0.056,170,87532.7787087244,1.0000614782440074
37,0.1,4,0.028,0.056,0,52208.610009913384,1.0000052705018365
38,0.1,4,0.028,0.056,10,55889.098636402894,1.0000790534006931
39,0.1,4,0.028,0.056,20,74520.57362259725,1.0000636770796285
40,0.1,4,0.028,0.056,30,119959.4281415292,1.0000140028116127
41,0.1,4,0.028,0.056,40,204690.56138349025,1.000012949951219
42,0.1,4,0.028,0.056,50,211321.83249778755,1.0000766467423559
43,0.1,4,0.028,0.056,60,116934.07714319919,1.0000318618036335
44,0.1,4,0.028,0.056,70,71942.63368740054,1.0000702770890793
45,0.1,4,0.028,0.056,80,55697.351037917186,1.0000196183328312
46,0.1,4,0.028,0.056,90,52229.91529863402,1.0000312919322836
47,0.1,4,0.028,0.056,100,55883.77231422273,1.000087348323744
48,0.1,4,0.028,0.056,110,74504.59465605677,1.0000776449463684
49,0.1,4,0.028,0.056,120,119927.47020844826,1.0000697539812289
50,0.1,4,0.028,0.056,130,204717.19299439105,1.00001172959706
51,0.1,4,0.028,0.056,140,211082.14799968043,1.0000721342612495
52,0.1,4,0.028,0.056,150,118510.6685085261,1.0000722796299908
53,0.1,4,0.028,0.056,160,71958.61265394102,1.0000474436408242
54,0.1,4,0.028,0.056,170,55676.04574919656,1.0000461721207108
